# wavelen(nm)  Transmission(atmos) - MC 4/2010
327.815  0.4744540
327.869  0.4718911
327.923  0.4692909
327.976  0.4681679
328.030  0.4686353
328.084  0.4696747
328.138  0.4712883
328.192  0.4735616
328.246  0.4757894
328.299  0.4777226
328.353  0.4793227
328.407  0.4810545
328.461  0.4831561
328.515  0.4848905
328.569  0.4861807
328.623  0.4875986
328.677  0.4890226
328.731  0.4905909
328.785  0.4918347
328.839  0.4927298
328.893  0.4938151
328.947  0.4948709
329.001  0.4957214
329.056  0.4965288
329.110  0.4973416
329.164  0.4981143
329.218  0.4988800
329.272  0.4994861
329.327  0.4998976
329.381  0.5004431
329.435  0.5009067
329.489  0.5010958
329.544  0.5014712
329.598  0.5013896
329.652  0.5014200
329.707  0.5016996
329.761  0.5018802
329.815  0.5022634
329.870  0.5025849
329.924  0.5030444
329.979  0.5033507
330.033  0.5035434
330.087  0.5032024
330.142  0.5028159
330.196  0.5012556
330.251  0.4980834
330.306  0.4959336
330.360  0.4953361
330.415  0.4952313
330.469  0.4957884
330.524  0.4965401
330.578  0.4972268
330.633  0.4980120
330.688  0.4989136
330.743  0.5000312
330.797  0.5005185
330.852  0.5007489
330.907  0.5004427
330.961  0.4980852
331.016  0.4954103
331.071  0.4942933
331.126  0.4940857
331.181  0.4948046
331.236  0.4962929
331.290  0.4973002
331.345  0.4983428
331.400  0.4998317
331.455  0.5013810
331.510  0.5028247
331.565  0.5041942
331.620  0.5051338
331.675  0.5064105
331.730  0.5074622
331.785  0.5087785
331.840  0.5093312
331.895  0.5103258
331.950  0.5112220
332.005  0.5119744
332.060  0.5126242
332.116  0.5133563
332.171  0.5139869
332.226  0.5146948
332.281  0.5152195
332.336  0.5155669
332.392  0.5162763
332.447  0.5167351
332.502  0.5172390
332.557  0.5174078
332.613  0.5176245
332.668  0.5178807
332.723  0.5181838
332.779  0.5182877
332.834  0.5182736
332.889  0.5179365
332.945  0.5178585
333.000  0.5177242
333.056  0.5178949
333.111  0.5180407
333.167  0.5180789
333.222  0.5183621
333.278  0.5185966
333.333  0.5188802
333.389  0.5188849
333.444  0.5188326
333.500  0.5181534
333.556  0.5167439
333.611  0.5146713
333.667  0.5126236
333.723  0.5118470
333.778  0.5118238
333.834  0.5124145
333.890  0.5130703
333.946  0.5140379
334.001  0.5151593
334.057  0.5162091
334.113  0.5172424
334.169  0.5182492
334.225  0.5194563
334.280  0.5204931
334.336  0.5211365
334.392  0.5220950
334.448  0.5226960
334.504  0.5234141
334.560  0.5239702
334.616  0.5243594
334.672  0.5248302
334.728  0.5253437
334.784  0.5258288
334.840  0.5264798
334.896  0.5270029
334.952  0.5275554
335.008  0.5281277
335.065  0.5287897
335.121  0.5293424
335.177  0.5298175
335.233  0.5303214
335.289  0.5307669
335.345  0.5310281
335.402  0.5313643
335.458  0.5317282
335.514  0.5320558
335.570  0.5322314
335.627  0.5323841
335.683  0.5326331
335.739  0.5329564
335.796  0.5332344
335.852  0.5335689
335.909  0.5339026
335.965  0.5341165
336.022  0.5342747
336.078  0.5343449
336.134  0.5346463
336.191  0.5344959
336.247  0.5342412
336.304  0.5341116
336.361  0.5338117
336.417  0.5332686
336.474  0.5328121
336.530  0.5329411
336.587  0.5332287
336.644  0.5335215
336.700  0.5339803
336.757  0.5343833
336.814  0.5347548
336.870  0.5350888
336.927  0.5352755
336.984  0.5351859
337.041  0.5346944
337.098  0.5343605
337.154  0.5330466
337.211  0.5316907
337.268  0.5311637
337.325  0.5313026
337.382  0.5317147
337.439  0.5326027
337.496  0.5334585
337.553  0.5342247
337.610  0.5349666
337.667  0.5357943
337.724  0.5366420
337.781  0.5374050
337.838  0.5381156
337.895  0.5387418
337.952  0.5393536
338.009  0.5399962
338.066  0.5404213
338.123  0.5410050
338.181  0.5417507
338.238  0.5422132
338.295  0.5426329
338.352  0.5430827
338.409  0.5434703
338.467  0.5439531
338.524  0.5445111
338.581  0.5445986
338.639  0.5451233
338.696  0.5451385
338.753  0.5455781
338.811  0.5459296
338.868  0.5462643
338.926  0.5465799
338.983  0.5468193
339.041  0.5470194
339.098  0.5472313
339.155  0.5474889
339.213  0.5476903
339.271  0.5479060
339.328  0.5481119
339.386  0.5481464
339.443  0.5483313
339.501  0.5485563
339.559  0.5487498
339.616  0.5489885
339.674  0.5492358
339.732  0.5493674
339.789  0.5496309
339.847  0.5496630
339.905  0.5498178
339.963  0.5495116
340.020  0.5488933
340.078  0.5483223
340.136  0.5476074
340.194  0.5476487
340.252  0.5479213
340.310  0.5482896
340.368  0.5487042
340.426  0.5492229
340.483  0.5497072
340.541  0.5501870
340.599  0.5507023
340.657  0.5511884
340.715  0.5517023
340.774  0.5521621
340.832  0.5526177
340.890  0.5530750
340.948  0.5534996
341.006  0.5539142
341.064  0.5542836
341.122  0.5547089
341.180  0.5551236
341.239  0.5554617
341.297  0.5558247
341.355  0.5561332
341.413  0.5565196
341.472  0.5568320
341.530  0.5571404
341.588  0.5574219
341.647  0.5577021
341.705  0.5579807
341.763  0.5582304
341.822  0.5584814
341.880  0.5587220
341.939  0.5589758
341.997  0.5592354
342.056  0.5595042
342.114  0.5597555
342.173  0.5600409
342.231  0.5602980
342.290  0.5605881
342.349  0.5608378
342.407  0.5610886
342.466  0.5613383
342.524  0.5615711
342.583  0.5618100
342.642  0.5620333
342.700  0.5622175
342.759  0.5624018
342.818  0.5625649
342.877  0.5627129
342.936  0.5628666
342.994  0.5630176
343.053  0.5631716
343.112  0.5632597
343.171  0.5633632
343.230  0.5635047
343.289  0.5637013
343.348  0.5639415
343.407  0.5641723
343.466  0.5644365
343.525  0.5646593
343.584  0.5648371
343.643  0.5649437
343.702  0.5650135
343.761  0.5650460
343.820  0.5649611
343.879  0.5646201
343.938  0.5642249
343.997  0.5640856
344.056  0.5641720
344.116  0.5644111
344.175  0.5647562
344.234  0.5651569
344.293  0.5655927
344.353  0.5660212
344.412  0.5664629
344.471  0.5669457
344.531  0.5674026
344.590  0.5678234
344.649  0.5682742
344.709  0.5686534
344.768  0.5689814
344.828  0.5693807
344.887  0.5696764
344.947  0.5699663
345.006  0.5702912
345.066  0.5705587
345.125  0.5708948
345.185  0.5711758
345.244  0.5714458
345.304  0.5717182
345.363  0.5719993
345.423  0.5722538
345.483  0.5725364
345.542  0.5727702
345.602  0.5730074
345.662  0.5732293
345.722  0.5734427
345.781  0.5736992
345.841  0.5738972
345.901  0.5741479
345.961  0.5743963
346.021  0.5746837
346.081  0.5750032
346.141  0.5752928
346.200  0.5755591
346.260  0.5758387
346.320  0.5761001
346.380  0.5763693
346.440  0.5765954
346.500  0.5768016
346.560  0.5769978
346.620  0.5772479
346.681  0.5774558
346.741  0.5776989
346.801  0.5779408
346.861  0.5781554
346.921  0.5784090
346.981  0.5786085
347.041  0.5788210
347.102  0.5789834
347.162  0.5790908
347.222  0.5792118
347.283  0.5793559
347.343  0.5794569
347.403  0.5796272
347.464  0.5797879
347.524  0.5799894
347.584  0.5802276
347.645  0.5805091
347.705  0.5808090
347.766  0.5810792
347.826  0.5813338
347.887  0.5815973
347.947  0.5818575
348.008  0.5820715
348.068  0.5822951
348.129  0.5825148
348.189  0.5827528
348.250  0.5830150
348.311  0.5832595
348.371  0.5834915
348.432  0.5837748
348.493  0.5840211
348.553  0.5842690
348.614  0.5845155
348.675  0.5847674
348.736  0.5850173
348.797  0.5852621
348.857  0.5855599
348.918  0.5858482
348.979  0.5860983
349.040  0.5863625
349.101  0.5866195
349.162  0.5868791
349.223  0.5871129
349.284  0.5873478
349.345  0.5875920
349.406  0.5877943
349.467  0.5880019
349.528  0.5881811
349.589  0.5883743
349.650  0.5885937
349.711  0.5887977
349.773  0.5890383
349.834  0.5892609
349.895  0.5894895
349.956  0.5897155
350.017  0.5899281
350.079  0.5901804
350.140  0.5903982
350.201  0.5905753
350.263  0.5907805
350.324  0.5909782
350.385  0.5911752
350.447  0.5913978
350.508  0.5915960
350.570  0.5918356
350.631  0.5920607
350.693  0.5922525
350.754  0.5924881
350.816  0.5926979
350.877  0.5929198
350.939  0.5931021
351.000  0.5933158
351.062  0.5935004
351.124  0.5936983
351.185  0.5939039
351.247  0.5940658
351.309  0.5942059
351.370  0.5943013
351.432  0.5944114
351.494  0.5945515
351.556  0.5946888
351.617  0.5948699
351.679  0.5950810
351.741  0.5953268
351.803  0.5955947
351.865  0.5958697
351.927  0.5961404
351.989  0.5964225
352.051  0.5966686
352.113  0.5969120
352.175  0.5971573
352.237  0.5974029
352.299  0.5976877
352.361  0.5979405
352.423  0.5982030
352.485  0.5984377
352.547  0.5986852
352.609  0.5989335
352.671  0.5992043
352.734  0.5994659
352.796  0.5997477
352.858  0.5999839
352.920  0.6002119
352.983  0.6004453
353.045  0.6007098
353.107  0.6009303
353.170  0.6011321
353.232  0.6013488
353.294  0.6015393
353.357  0.6017448
353.419  0.6019522
353.482  0.6021758
353.544  0.6023733
353.607  0.6025485
353.669  0.6027343
353.732  0.6029343
353.794  0.6031235
353.857  0.6033219
353.920  0.6034996
353.982  0.6037037
354.045  0.6038730
354.108  0.6040622
354.170  0.6042382
354.233  0.6044648
354.296  0.6046840
354.359  0.6048924
354.421  0.6051091
354.484  0.6053356
354.547  0.6055500
354.610  0.6057853
